id,transaction_id,account_address,mint_address,pre_balance,post_balance,balance_delta
5638,4027,A9eLa4Rr7Z78ovaiHQacsVsYRygtN32Pq48DhSLdhKoT,,731507060,731501269,-5791
5637,4026,3KvsoNxgn64nsuHKPBHQJsguef3DgEkP2izE49k6CSAZ,,1643614454,1643599567,-14887
5636,4025,3KvsoNxgn64nsuHKPBHQJsguef3DgEkP2izE49k6CSAZ,,1643627966,1643614454,-13512
5635,4024,3KvsoNxgn64nsuHKPBHQJsguef3DgEkP2izE49k6CSAZ,,1643647371,1643627966,-19405
5634,4023,A9eLa4Rr7Z78ovaiHQacsVsYRygtN32Pq48DhSLdhKoT,,732180919,732174857,-6062
5633,4022,3KvsoNxgn64nsuHKPBHQJsguef3DgEkP2izE49k6CSAZ,,1647290743,1647262487,-28256
5632,4021,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8763600414,8763555601,-44813
5631,4020,ADuUkR4vqLUMWXxW9gh6D6L8pMSawimctcNZ5pGwDcEt,,966542,990694,24152
5630,4020,3KvsoNxgn64nsuHKPBHQJsguef3DgEkP2izE49k6CSAZ,,1664621680,1664592528,-29152
5629,4019,A9eLa4Rr7Z78ovaiHQacsVsYRygtN32Pq48DhSLdhKoT,,737014458,737008407,-6051
5628,4018,DttWaMuVvTiduZRnguLF7jNxTgiMBZ1hyAumKUiL2KRL,,1096664,1098269,1605
5627,4018,77777T2qnynHFsA63FyfY766ciBTXizavU1f5HeZXwN,,4203341513,4203334908,-6605
5626,4017,ADuUkR4vqLUMWXxW9gh6D6L8pMSawimctcNZ5pGwDcEt,,1515694,1534476,18782
5625,4017,3KvsoNxgn64nsuHKPBHQJsguef3DgEkP2izE49k6CSAZ,,1664645462,1664621680,-23782
5624,4016,3KvsoNxgn64nsuHKPBHQJsguef3DgEkP2izE49k6CSAZ,,1664666789,1664645462,-21327
5623,4015,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,155397096,155391389,-5707
5622,4014,A9eLa4Rr7Z78ovaiHQacsVsYRygtN32Pq48DhSLdhKoT,,737020423,737014458,-5965
5621,4013,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8775989669,8775909777,-79892
5620,4012,66666y3RmL6gNyttNKXNhF5awxAWbBdGSfpKuaTLrjRH,,1261124536,1261119536,-5000
5619,4011,Cw8CFyM9FkoMi7K7Crf6HNQqf4uEMzpKw6QNghXLvLkY,,2006654,2022468,15814
5618,4011,66666y3RmL6gNyttNKXNhF5awxAWbBdGSfpKuaTLrjRH,,1261145350,1261124536,-20814
5617,4010,J9b2aebAorU2WLCffN5yb2m3XtEcpta886E1RqLXHhiG,,0,1100000,1100000
5616,4010,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8823984623,8822879623,-1105000
5615,4009,EBmZAFVdeALi2MKWgxDPqZkFnQKcV13EFCrVGuzCUXC,,0,1100000,1100000
5614,4009,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8824001535,8822896535,-1105000
5613,4008,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,165318839,165313121,-5718
5612,4007,A9eLa4Rr7Z78ovaiHQacsVsYRygtN32Pq48DhSLdhKoT,,775298945,775292921,-6024
5611,4006,3KvsoNxgn64nsuHKPBHQJsguef3DgEkP2izE49k6CSAZ,,1707220910,1707199850,-21060
5610,4005,3KvsoNxgn64nsuHKPBHQJsguef3DgEkP2izE49k6CSAZ,,1707242322,1707220910,-21412
5609,4004,3KvsoNxgn64nsuHKPBHQJsguef3DgEkP2izE49k6CSAZ,,1707263228,1707242322,-20906
5608,4003,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,171843682,171837980,-5702
5607,4002,5dTQx1yz5RV7jYTjY1fLkVAYBwmNzmU388fa27c1XBE1,,0,1100000,1100000
5606,4002,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8860627490,8859522490,-1105000
5605,4001,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8880107176,8880077823,-29353
5604,4000,3KvsoNxgn64nsuHKPBHQJsguef3DgEkP2izE49k6CSAZ,,1775284118,1775170655,-113463
5603,3999,3KvsoNxgn64nsuHKPBHQJsguef3DgEkP2izE49k6CSAZ,,1775395554,1775284118,-111436
5602,3998,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,176553522,176547957,-5565
5601,3997,HFqU5x63VTqvQss8hp11i4wVV8bD44PvwucfZ2bU7gRe,,1993869,2025628,31759
5600,3997,3KvsoNxgn64nsuHKPBHQJsguef3DgEkP2izE49k6CSAZ,,1775432313,1775395554,-36759
5599,3996,DfXygSm4jCyNCybVYYK6DwvWqjKee8pbDmJGcLWNDXjh,,2078120,2079268,1148
5598,3996,77777T2qnynHFsA63FyfY766ciBTXizavU1f5HeZXwN,,4210940322,4210934174,-6148
5597,3995,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,181219619,181213717,-5902
5596,3994,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,181225414,181219619,-5795
5595,3993,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8901215874,8901205190,-10684
5594,3992,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8901226561,8901215874,-10687
5593,3991,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,181231286,181225414,-5872
5592,3990,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8901237246,8901226561,-10685
5591,3989,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,181237087,181231286,-5801
5590,3988,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8901247929,8901237246,-10683
5589,3987,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,181242787,181237087,-5700
5588,3986,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8901258607,8901247929,-10678
5587,3985,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8901269292,8901258607,-10685
5586,3984,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8901279970,8901269292,-10678
5585,3983,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8901291006,8901279970,-11036
5584,3982,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,181248543,181242787,-5756
5583,3981,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,181254120,181248543,-5577
5582,3980,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,181260062,181254120,-5942
5581,3979,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8901302054,8901291006,-11048
5580,3978,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,181265909,181260062,-5847
5579,3977,2ovKxH5RqRLhDVHutbGxkcCotrvCx9UgP2HiqaAzTK2o,,0,1100000,1100000
5578,3977,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8901318875,8900213875,-1105000
5577,3976,77777T2qnynHFsA63FyfY766ciBTXizavU1f5HeZXwN,,4212165719,4212160719,-5000
5576,3975,3AVi9Tg9Uo68tJfuvoKvqKNWKkC5wPdSSdeBnizKZ6jT,,952471,953704,1233
