id,signature,slot,block_time,fee,fee_payer,success,compute_units_consumed,ingested_at
4026,3dmimvHVLkrvoHx6L2DPUwejmo92frNpHDVQ9ERj87osDFpwe5kKRWkFEvyeP5babhgaxKvakJW2VR2JVgx9h2ER,374999293,2025-10-22 06:43:17+00,14887,3KvsoNxgn64nsuHKPBHQJsguef3DgEkP2izE49k6CSAZ,f,58244,2025-10-22 06:44:28.727826+00
4025,8nRsu3fPuhG1dd5YQcg4AbHx4XPwozgPkFiCgVUskfdhRDxCr7iSDZz9q3DMJskQpec3Bkhbb8Fy8yLSfCxKPuF,374999292,2025-10-22 06:43:17+00,13512,3KvsoNxgn64nsuHKPBHQJsguef3DgEkP2izE49k6CSAZ,f,58246,2025-10-22 06:44:18.604983+00
4024,2PJUrDeCh8sjuQCYw2ui8igUBhhJNZMtbfn3y4inAjGbDDh8YGLxA4Gxf4cLCQi2yf5tRCtNJGFF6kRw1eGkeV9x,374999292,2025-10-22 06:43:17+00,19405,3KvsoNxgn64nsuHKPBHQJsguef3DgEkP2izE49k6CSAZ,f,58246,2025-10-22 06:43:58.467712+00
4027,2QoL89LCfvCh98SzcDeNa7RUyr96J5XqbzqhJWHvy157Ehjzd3MJVNUZrH13PAk1ppk4GLC1Hd4v1HDiY8tNDPjU,374999274,2025-10-22 06:43:10+00,5791,A9eLa4Rr7Z78ovaiHQacsVsYRygtN32Pq48DhSLdhKoT,f,52603,2025-10-22 06:44:31.814506+00
4023,3gPpRUsTLju3nsSpoJt8uS6jm3Aej3oCyKXitDBEq1h3c4vBFZvHQqdSJyFe1ra7EGbfBmGgyWEVxJwjjPBZkNxg,374999223,2025-10-22 06:42:50+00,6062,A9eLa4Rr7Z78ovaiHQacsVsYRygtN32Pq48DhSLdhKoT,f,58374,2025-10-22 06:42:51.775676+00
4022,4Cjz6JhWm1aXeRUMWeEF93ge5hqXRnNfrjpvKT5RV2aGDtce3od8pg7GoGSw9qCCY4xmTBz86XxBhi5NMUKaejnL,374999223,2025-10-22 06:42:50+00,28256,3KvsoNxgn64nsuHKPBHQJsguef3DgEkP2izE49k6CSAZ,f,58224,2025-10-22 06:42:51.706116+00
4021,5NdZZQ8mPRMBRs6nA1FgRMPKLyXhXgLTHZz4euJguSdcJE1DYcvtG8YPh4eDwC6H3TPuS6KzeuRW8D3zbveXfUTd,374998402,2025-10-22 06:37:26+00,44813,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,f,89864,2025-10-22 06:38:17.277692+00
4020,NtwuabEVaiMvaj86Bpuj5HDRwGkLf1xumDPwdtq4f95mrKSsVobnUh1eEKXHsa8eHrC5DRQYHSzYpArgY2Q3aHV,374998184,2025-10-22 06:35:59+00,5000,3KvsoNxgn64nsuHKPBHQJsguef3DgEkP2izE49k6CSAZ,t,52321,2025-10-22 06:37:00.555333+00
4019,3LjavR4LYEWCcNVjzep92R9i2sLvUwYarhxEN77nQZKqzVZXBCwEDspmwdjZMYxHNMwsVM29pPXD5hENfGFv2MQ6,374998183,2025-10-22 06:35:58+00,6051,A9eLa4Rr7Z78ovaiHQacsVsYRygtN32Pq48DhSLdhKoT,f,52647,2025-10-22 06:37:00.482232+00
4018,51fQjhWHjxVWaJcGLURqEQuQ3auLVchP7nXEKfujodyN6EfdbmfbkWR1FLHQUwgdHeLj8NSDi9mBEHMAV6FDHF4W,374998183,2025-10-22 06:35:58+00,5000,77777T2qnynHFsA63FyfY766ciBTXizavU1f5HeZXwN,t,82019,2025-10-22 06:36:40.294275+00
4017,4V5HjA3bsLo1VFKVmzCyEzfwaicbsgRrX6w8f9WJbDjr9y8oGgG5U3PfyTjcdJTySEEoTDpSFmeJNb5xmb1SBXvj,374998183,2025-10-22 06:35:58+00,5000,3KvsoNxgn64nsuHKPBHQJsguef3DgEkP2izE49k6CSAZ,t,52321,2025-10-22 06:36:40.188103+00
4016,2eHcdBBm91xR3NJSbqdHdCNRUL8ocwMFmkWDYXq1q1oKGVcL6V9qbaTx2sXNPNRweBy9Gh6VnqD76HYqRNXYLnfq,374998183,2025-10-22 06:35:58+00,21327,3KvsoNxgn64nsuHKPBHQJsguef3DgEkP2izE49k6CSAZ,f,52497,2025-10-22 06:36:20.043156+00
4015,3CBTfffvPbmDtR1ybvcFu8foZWuhKxUMKxdmZA7TWqDGz2pxHj5WwXZmksbP45ZW8XLxQbi3E5BNzVyDQjWyQGWU,374998183,2025-10-22 06:35:58+00,5707,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,f,82924,2025-10-22 06:36:19.970255+00
4014,3UjA4ATBhEF6tMvuQ6ajKvEgztiDTfhrFzQ5n9KuxY7JHYu4DHut5TfnqeU1pP7mJEpimgd8rRWugDq153BFvMUt,374998183,2025-10-22 06:35:58+00,5965,A9eLa4Rr7Z78ovaiHQacsVsYRygtN32Pq48DhSLdhKoT,f,52648,2025-10-22 06:35:59.836725+00
4013,5yNEvn6UTQzU2ZnyTGVkwZQ3ec8Z3RqcqTW6FY6dDfcUFpkCPKyJcbyZLJxTCzMHF2gFN5vRGP1kpYSHwsntR5Dj,374998183,2025-10-22 06:35:58+00,79892,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,f,46281,2025-10-22 06:35:59.759929+00
4012,hemYj8RxnWJ1cw7XsNzU7UNvsurKMt7BNzWjKnAoYUR3Nr5fwgEccBqVhTMGV7myY8xxVX5m5Paj8WSPNDxFSmk,374997300,2025-10-22 06:30:07+00,5000,66666y3RmL6gNyttNKXNhF5awxAWbBdGSfpKuaTLrjRH,t,94836,2025-10-22 06:30:08.624075+00
4011,5Hwu31nYaFTkUpvkayXBE1S2e3dPeHNnDNq16GVDDj5NL1jZfESRN4z5X73ZmpbvvGiJ4PfFHTzrw351nymF4HZn,374997300,2025-10-22 06:30:07+00,5000,66666y3RmL6gNyttNKXNhF5awxAWbBdGSfpKuaTLrjRH,t,80331,2025-10-22 06:30:08.510452+00
4010,5bY9n7AfgczJu6QSuercuxif4u2QxLBb6iPKC86F8QTo7fEU8N85wntJaaQCHyC7dPy9ymSCkoikSw8DEMYJBuvq,374996625,2025-10-22 06:25:37+00,5000,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,t,95595,2025-10-22 06:25:38.114722+00
4009,42apxubrZyobESxxR4pYKZyTSdnWAg8SPerwweoHd8EVzFYP7CqBkVU4hf1eTNNTa63skQ5FTvhWmVTe5fUjx5kY,374996624,2025-10-22 06:25:37+00,5000,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,t,95595,2025-10-22 06:25:37.694173+00
4008,2FAwf1NzK1kfnwPG2d89y9Ss5FzWSbYAYKGaAfrwWUjJMdY8VXB3XHUW7he8kU9BeZBG9zz4jcmWWC8UCZpeqV7K,374996422,2025-10-22 06:24:15+00,5718,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,f,88510,2025-10-22 06:24:16.980331+00
4007,cEhAhMt6rH6ZjNHzL2S6ER2kqeoXFTpfF3YSsitro8fxLFZqDxvmNcWMfhwe8Dsdy5aLeBW91uL1U8a5CZwEgQs,374996422,2025-10-22 06:24:15+00,6024,A9eLa4Rr7Z78ovaiHQacsVsYRygtN32Pq48DhSLdhKoT,f,90747,2025-10-22 06:24:16.903361+00
